25/05/2023 19:10:06 -  placa
25/05/2023 19:13:10 -  placa4
26/05/2023 14:47:11 -  fazer
26/05/2023 15:31:50 -  manoela
26/05/2023 15:33:02 -  manoela
26/05/2023 15:33:08 -  manoela
26/05/2023 15:49:27 -  lucas
26/05/2023 15:50:02 -  lucas
26/05/2023 16:03:09 -  lula
26/05/2023 16:04:22 -  luis
26/05/2023 16:17:51 -  lucas
26/05/2023 16:35:37 -  ong
26/05/2023 16:58:44 - 
26/05/2023 16:58:48 - 
26/05/2023 17:20:50 -  onh
26/05/2023 17:21:21 -  lucas
26/05/2023 17:21:28 - manoela
26/05/2023 17:23:10 -  onh
26/05/2023 17:24:23 -  luycas
26/05/2023 17:25:11 -  asd
26/05/2023 17:25:29 - lucas
26/05/2023 17:25:49 -  lucas
26/05/2023 17:27:22 -  lucas
26/05/2023 17:27:58 -  lucas
26/05/2023 17:31:43 -  asd
